x,y,geo_code,distance,vertical_der,analytic_signal,mag_field,Target
607012.5,6180912.197,14,2402.08,0.249958,0.237568,3.38925,0
607112.5,6180912.197,14,2408.32,0.00548636,0.293519,-16.0893,0
607212.5,6180912.197,14,2418.68,-0.29035,0.390662,-43.6641,0
607312.5,6180912.197,14,2433.1,-0.412539,0.44562,-57.6528,0
607412.5,6180912.197,14,2451.53,-0.395371,0.444343,-53.3638,0
607512.5,6180912.197,14,2473.86,-0.349573,0.476878,-34.0898,0
607612.5,6180912.197,14,2500,-0.0302535,0.447678,2.83498,0
607712.5,6180912.197,14,2529.82,-0.0617364,0.330737,20.6837,0
607812.5,6180912.197,14,2563.2,-0.245348,0.435828,24.9595,0
603412.5,6180812.129,10,3612.48,-0.0493397,0.127581,-5.11612,0
603512.5,6180812.129,10,3605.55,-0.0974295,0.157491,-12.414,0
603612.5,6180812.129,10,3601.39,-0.135508,0.165225,-19.3951,0
603712.5,6180812.129,10,3600,-0.12793,0.146918,-23.2288,0
603812.5,6180812.129,10,3601.39,-0.108189,0.13269,-25.4789,0
603912.5,6180812.129,10,3605.55,-0.118855,0.148763,-28.501,0
604012.5,6180812.129,10,3612.48,-0.140795,0.168347,-32.0179,0
604112.5,6180812.129,10,3622.15,-0.174149,0.1896,-35.1654,0
604212.5,6180812.129,10,3546.83,-0.190989,0.200598,-35.6207,0
604312.5,6180812.129,10,3471.31,-0.208111,0.239697,-33.496,0
604412.5,6180812.129,10,3397.06,-0.163904,0.210533,-27.9599,0
604512.5,6180812.129,10,3324.15,-0.0432116,0.0799678,-20.1276,0
604612.5,6180812.129,14,3252.69,-0.0479831,0.115625,-17.6927,0
604712.5,6180812.129,14,3182.77,-0.0978505,0.210391,-18.7749,0
604812.5,6180812.129,14,3114.48,-0.122597,0.216422,-20.6488,0
604912.5,6180812.129,14,3047.95,-0.182288,0.227776,-23.8293,0
605012.5,6180812.129,14,2983.29,-0.189305,0.216812,-23.9348,0
605112.5,6180812.129,10,2920.62,-0.182054,0.199356,-21.7244,0
605212.5,6180812.129,10,2860.07,-0.173073,0.186016,-18.7089,0
605312.5,6180812.129,12,2801.79,-0.238705,0.255272,-18.5373,0
605412.5,6180812.129,12,2745.91,-0.267194,0.312004,-15.2249,0
605512.5,6180812.129,12,2692.58,-0.170921,0.336769,-0.873335,0
605612.5,6180812.129,14,2641.97,0.101619,0.325699,21.8121,0
605712.5,6180812.129,14,2594.22,0.249771,0.316581,32.4949,0
605812.5,6180812.129,14,2549.51,0.0924971,0.231572,20.0371,0
605912.5,6180812.129,14,2507.99,-0.0516787,0.19964,0.505737,0
606012.5,6180812.129,14,2469.82,-0.138362,0.222276,-17.2704,0
606112.5,6180812.129,14,2435.16,-0.195761,0.237,-31.2195,0
606212.5,6180812.129,14,2404.16,-0.197164,0.222667,-39.4016,0
606312.5,6180812.129,12,2376.97,-0.190147,0.217096,-44.9838,0
606412.5,6180812.129,12,2353.72,-0.212274,0.231678,-49.0353,0
606512.5,6180812.129,10,2334.52,-0.208532,0.229656,-47.7948,0
606612.5,6180812.129,10,2319.48,-0.133169,0.182113,-39.87,0
606712.5,6180812.129,10,2308.68,-0.0676775,0.137409,-29.979,0
606812.5,6180812.129,14,2302.17,-0.0423695,0.136948,-19.989,0
606912.5,6180812.129,14,2300,0.102321,0.152665,-6.8845,0
607012.5,6180812.129,14,2302.17,0.125804,0.206204,-6.40282,0
607112.5,6180812.129,14,2308.68,-0.101219,0.302141,-26.3697,0
607212.5,6180812.129,14,2319.48,-0.34251,0.414895,-49.5829,0
607312.5,6180812.129,14,2334.52,-0.494544,0.520872,-60.7607,0
607412.5,6180812.129,14,2353.72,-0.493515,0.552023,-52.0837,0
607512.5,6180812.129,14,2376.97,-0.455624,0.62394,-25.0566,0
607612.5,6180812.129,14,2404.16,-0.0635141,0.558268,23.653,0
607712.5,6180812.129,14,2435.16,-0.0247803,0.354899,51.3136,0
607812.5,6180812.129,12,2469.82,-0.3194,0.593712,57.6745,0
603412.5,6180712.062,10,3512.83,-0.0669758,0.12563,-12.7835,0
603512.5,6180712.062,10,3505.71,-0.117779,0.152453,-18.8738,0
603612.5,6180712.062,10,3501.43,-0.116375,0.134713,-22.5822,0
603712.5,6180712.062,10,3500,-0.119135,0.136877,-25.8286,0
603812.5,6180712.062,10,3501.43,-0.139344,0.159087,-30.0714,0
603912.5,6180712.062,10,3505.71,-0.163155,0.184207,-34.5055,0
604012.5,6180712.062,10,3512.83,-0.193609,0.208191,-37.9169,0
604112.5,6180712.062,10,3522.78,-0.208906,0.218586,-38.4448,0
604212.5,6180712.062,10,3482.81,-0.171435,0.210745,-33.298,0
604312.5,6180712.062,10,3405.88,0.0337414,0.165793,-20.3321,0
604412.5,6180712.062,10,3330.17,0.0505354,0.0864606,-17.607,0
604512.5,6180712.062,14,3255.76,-0.0547662,0.0896892,-22.8065,0
604612.5,6180712.062,14,3182.77,-0.129333,0.20922,-29.2598,0
604712.5,6180712.062,14,3111.27,-0.237395,0.28692,-35.7196,0
604812.5,6180712.062,10,3041.38,-0.188417,0.231146,-34.7761,0
604912.5,6180712.062,10,2973.21,-0.169003,0.195809,-32.9747,0
605012.5,6180712.062,10,2906.89,-0.165869,0.189174,-30.2561,0
605112.5,6180712.062,12,2842.53,-0.107768,0.140744,-23.8293,0
605212.5,6180712.062,12,2780.29,-0.0494333,0.0679048,-17.7653,0
605312.5,6180712.062,12,2720.29,-0.101967,0.116547,-18.4911,0
605412.5,6180712.062,12,2662.71,-0.186311,0.19737,-20.5433,0
605512.5,6180712.062,12,2607.68,-0.179014,0.242464,-14.7036,0
605612.5,6180712.062,12,2555.39,-0.0406854,0.254882,-0.061728,0
605712.5,6180712.062,14,2505.99,0.0938069,0.218977,11.8814,0
605812.5,6180712.062,14,2459.67,0.105876,0.146066,11.4129,0
605912.5,6180712.062,14,2416.61,0.0909533,0.140425,3.09232,0
606012.5,6180712.062,14,2376.97,-0.00887508,0.179169,-11.6156,0
606112.5,6180712.062,14,2340.94,-0.117358,0.200918,-28.0259,0
606212.5,6180712.062,12,2308.68,-0.153144,0.189954,-39.4741,0
606312.5,6180712.062,12,2280.35,-0.186265,0.210178,-47.4846,0
606412.5,6180712.062,12,2256.1,-0.212836,0.227066,-51.6087,0
606512.5,6180712.062,10,2236.07,-0.184861,0.2111,-48.646,0
606612.5,6180712.062,10,2220.36,-0.0802613,0.151778,-38.6823,0
606712.5,6180712.062,10,2209.07,-0.00489879,0.0880926,-28.5603,0
606812.5,6180712.062,14,2202.27,-0.0319376,0.102675,-22.7603,0
606912.5,6180712.062,14,2200,0.0206898,0.124459,-16.9801,0
607012.5,6180712.062,14,2202.27,-0.039282,0.194602,-21.3813,0
607112.5,6180712.062,14,2209.07,-0.243243,0.331482,-37.9433,0
607212.5,6180712.062,14,2220.36,-0.416749,0.454738,-53.9445,0
607312.5,6180712.062,14,2236.07,-0.563451,0.58988,-59.5862,0
607412.5,6180712.062,14,2256.1,-0.593016,0.676166,-45.7493,0
607512.5,6180712.062,14,2280.35,-0.498474,0.778773,-8.09202,0
607612.5,6180712.062,14,2308.68,-0.0278677,0.711646,53.6165,0
607712.5,6180712.062,14,2340.94,0.00272634,0.532261,91.2539,0
607812.5,6180712.062,12,2376.97,-0.0591167,0.671483,111.775,0
603412.5,6180611.995,10,3413.21,-0.0815243,0.121905,-18.8079,0
603512.5,6180611.995,10,3405.88,-0.124702,0.146918,-22.9517,0
603612.5,6180611.995,10,3401.47,-0.0890091,0.103136,-23.7171,0
603712.5,6180611.995,10,3400,-0.0727765,0.0928469,-25.0896,0
603812.5,6180611.995,10,3401.47,-0.120679,0.151033,-30.85,0
603912.5,6180611.995,10,3405.88,-0.181306,0.196944,-37.3231,0
604012.5,6180611.995,10,3413.21,-0.195527,0.20514,-39.131,0
604112.5,6180611.995,10,3423.45,-0.171669,0.192261,-36.2475,0
604212.5,6180611.995,10,3420.53,-0.0994411,0.154439,-28.9628,0
604312.5,6180611.995,10,3342.16,0.0792583,0.123998,-17.7191,0
604412.5,6180611.995,14,3264.97,0.0507226,0.140035,-19.3027,0
604512.5,6180611.995,14,3189.04,-0.130222,0.199818,-31.0084,0
604612.5,6180611.995,14,3114.48,-0.23515,0.277092,-40.9984,0
604712.5,6180611.995,10,3041.38,-0.321318,0.338969,-47.3725,0
604812.5,6180611.995,10,2969.85,-0.24909,0.276702,-45.5315,0
604912.5,6180611.995,10,2900,-0.202404,0.242358,-42.1201,0
605012.5,6180611.995,12,2831.96,-0.182148,0.22625,-37.8773,0
605112.5,6180611.995,12,2765.86,-0.113709,0.192012,-29.6689,0
605212.5,6180611.995,12,2701.85,-0.00602151,0.115909,-20.662,0
605312.5,6180611.995,10,2640.08,-0.0140677,0.0817063,-19.7118,0
605412.5,6180611.995,10,2580.7,-0.137099,0.160187,-24.2252,0
605512.5,6180611.995,10,2523.89,-0.166243,0.200456,-23.9414,0
605612.5,6180611.995,12,2469.82,-0.137239,0.237355,-18.049,0
605712.5,6180611.995,12,2418.68,-0.0237511,0.24846,-8.05243,0
605812.5,6180611.995,12,2370.65,0.0469334,0.186406,-2.31179,0
605912.5,6180611.995,14,2325.94,0.139604,0.163345,-0.886532,0
606012.5,6180611.995,14,2284.73,0.121547,0.1841,-8.85743,0
606112.5,6180611.995,12,2247.22,-0.0169212,0.16707,-25.3535,0
606212.5,6180611.995,12,2213.59,-0.0981312,0.159194,-39.1046,0
606312.5,6180611.995,12,2184.03,-0.150244,0.181901,-48.6064,0
606412.5,6180611.995,12,2158.7,-0.183551,0.199995,-53.5354,0
606512.5,6180611.995,10,2137.76,-0.162968,0.191941,-51.7274,0
606612.5,6180611.995,10,2121.32,-0.111885,0.177891,-44.7133,0
606712.5,6180611.995,10,2109.5,-0.0702504,0.158023,-37.1119,0
606812.5,6180611.995,10,2102.38,-0.082226,0.162813,-32.724,0
606912.5,6180611.995,14,2100,-0.0794192,0.170228,-30.2759,0
607012.5,6180611.995,14,2102.38,-0.132281,0.201982,-33.7203,0
607112.5,6180611.995,14,2109.5,-0.254189,0.294477,-43.1957,0
607212.5,6180611.995,14,2121.32,-0.41296,0.436537,-51.4041,0
607312.5,6180611.995,14,2137.76,-0.533231,0.582181,-48.7317,0
607412.5,6180611.995,14,2158.7,-0.587917,0.733998,-27.5508,0
607512.5,6180611.995,14,2184.03,-0.470687,0.923423,21.8319,0
607612.5,6180611.995,14,2213.59,0.110694,0.92211,98.9477,0
607712.5,6180611.995,14,2247.22,0.23017,0.73233,148.7,0
607812.5,6180611.995,12,2284.73,0.327052,0.828657,179.884,0
603412.5,6180511.927,10,3313.61,-0.0816647,0.111545,-22.8857,0
603512.5,6180511.927,10,3306.06,-0.118902,0.139112,-25.6108,0
603612.5,6180511.927,10,3301.51,-0.0817582,0.100262,-24.852,0
603712.5,6180511.927,10,3300,-0.0203362,0.0377471,-23.7303,0
603812.5,6180511.927,10,3301.51,-0.105616,0.153091,-30.5399,0
603912.5,6180511.927,10,3306.06,-0.202544,0.214826,-37.9367,0
604012.5,6180511.927,10,3313.61,-0.176207,0.196589,-36.6302,0
